,Make,Colour,Odometer (KM),Doors,Price
0,Honda,Blue,95820,4,20611
1,Toyota,Blue,124122,4,16895
2,Toyota,White,75794,4,35435
3,Nissan,White,167421,4,8463
4,Toyota,White,18413,4,6812
5,Honda,White,125157,4,15995
6,Toyota,Blue,42867,4,10451
7,BMW,Blue,49095,5,38574
8,Nissan,Red,129449,4,11615
9,Toyota,White,244009,4,0
10,BMW,White,121493,5,18230
11,Toyota,White,156587,4,2432
12,BMW,Blue,53034,5,23522
13,Toyota,Blue,81207,4,17348
14,Toyota,White,180285,4,7400
15,Honda,Blue,215945,4,0
16,Honda,White,154417,4,6977
17,Toyota,White,166851,4,5455
18,Nissan,White,210732,4,0
19,Toyota,Blue,189570,4,11518
20,Toyota,Black,163626,4,2461
21,Nissan,White,85386,4,27367
22,Toyota,Blue,39506,4,27130
23,Honda,Blue,111017,4,5012
24,BMW,Black,95720,5,21580
25,Nissan,Blue,227385,4,0
26,Honda,Red,140826,4,10890
27,Nissan,Blue,67589,4,17505
28,Toyota,White,131114,4,16879
29,Honda,Blue,238754,3,0
30,Honda,Red,162509,3,2242
31,Toyota,Green,214184,4,0
32,Nissan,Blue,112338,4,18366
33,Toyota,Blue,125741,4,12374
34,Honda,Black,118485,3,12614
35,BMW,White,40062,4,45414
36,Honda,Blue,25706,4,28578
37,Honda,Blue,119072,4,13554
38,Honda,White,28766,4,20434
39,Toyota,White,244791,4,0
40,Honda,White,197851,4,6976
41,Toyota,White,39062,4,17158
42,Toyota,Red,169133,4,6085
43,Toyota,White,189526,4,9931
44,Honda,White,92071,4,12748
45,Toyota,White,157101,4,11531
46,Honda,Green,111481,4,14978
47,Toyota,White,123570,4,17098
48,Nissan,Black,33187,4,22075
49,Honda,Red,88051,4,9123
50,Toyota,White,204781,4,0
51,Toyota,Green,42408,4,17866
52,Honda,Blue,148055,4,14797
53,Toyota,Black,210477,4,0
54,Toyota,Black,112538,4,15846
55,Toyota,White,72209,4,17897
56,Toyota,White,33210,4,11065
57,Toyota,Green,133844,4,16150
58,Honda,White,35873,3,23599
59,Nissan,Red,25576,4,21486
60,Toyota,White,69605,4,14522
61,Nissan,Green,44344,4,16185
62,Toyota,Blue,211708,4,0
63,Nissan,White,75334,4,26320
64,Honda,White,136806,4,11682
65,Honda,Blue,72359,4,21640
66,Honda,White,198778,3,9425
67,Nissan,White,22686,4,29527
68,Toyota,Blue,239133,4,0
69,Honda,Blue,225750,4,0
70,Honda,Red,36599,4,10540
71,Toyota,Black,145130,4,17947
72,Nissan,White,223018,4,0
73,Nissan,Blue,38240,4,5525
74,Toyota,White,248874,4,0
75,Honda,Black,160457,4,3261
76,Toyota,Black,90592,4,21931
77,Toyota,Green,101414,4,19963
78,Honda,White,33795,4,17509
79,BMW,Green,112234,5,32790
80,Honda,Red,138528,4,14541
81,Toyota,Black,132618,4,17983
82,BMW,White,27112,5,22046
83,BMW,White,141072,5,24192
84,Honda,White,133078,3,14158
85,Honda,Blue,13588,4,9643
86,Honda,Blue,35406,4,17100
87,Honda,Blue,169192,4,3131
88,Toyota,White,217744,4,0
89,Nissan,Blue,61474,4,26314
90,Toyota,White,156218,4,3965
91,Honda,Black,76751,4,10541
92,BMW,White,203572,5,4805
93,Toyota,Green,101281,4,4378
94,Toyota,Red,134486,4,8401
95,Toyota,Blue,240991,4,0
96,Honda,Blue,117925,4,7918
97,BMW,Blue,225560,5,7558
98,Nissan,White,158002,4,8073
99,Honda,Black,130751,3,12156
100,Honda,White,186000,4,9159
101,Toyota,Blue,117586,4,14777
102,Toyota,Green,131146,4,16630
103,Toyota,Blue,163842,4,11182
104,Nissan,Blue,107824,4,3324
105,Honda,Black,204457,4,0
106,Nissan,White,109702,4,3428
107,Toyota,Blue,86280,4,23093
108,Honda,Blue,85578,4,6285
109,Toyota,Blue,191980,4,5435
110,Honda,Blue,74542,3,19509
111,Toyota,White,100150,4,5726
112,Toyota,Blue,130945,4,8818
113,Honda,Blue,19140,4,18478
114,Nissan,Black,242060,4,0
115,Toyota,Red,206024,4,0
116,BMW,Green,227213,5,7892
117,Toyota,White,234669,4,0
118,Toyota,Green,89228,4,10920
119,Toyota,Blue,158869,4,2435
120,Nissan,Blue,148112,4,17927
121,Toyota,Blue,134968,4,19085
122,Toyota,Blue,11087,4,21037
123,BMW,Blue,98014,5,44505
124,Nissan,Blue,237282,4,0
125,Toyota,White,18196,4,32744
126,Honda,Green,185733,4,5239
127,Toyota,Blue,217668,4,0
128,Nissan,Blue,14054,4,25379
129,Honda,Blue,55918,4,25568
130,BMW,Blue,241916,5,8127
131,Honda,Blue,163070,4,3605
132,Honda,Blue,22567,4,20645
133,BMW,Black,206401,5,4706
134,Toyota,Red,51655,4,20812
135,Honda,White,46993,4,20004
136,Toyota,White,185013,4,10423
137,Toyota,White,131733,4,16685
138,Honda,Blue,13596,4,7006
139,Toyota,Green,37111,4,17704
140,Honda,White,74116,4,10639
141,Nissan,White,166225,4,8547
142,Honda,White,56195,4,14832
143,Nissan,Red,127278,4,3097
144,Honda,White,30728,3,16768
145,Nissan,Red,232683,4,0
146,Toyota,Blue,34599,4,25026
147,Toyota,Blue,128349,4,3790
148,Honda,Green,45737,4,9884
149,Honda,White,49816,4,27049
150,Nissan,White,205199,4,0
151,Toyota,White,133566,4,16546
152,Toyota,Black,167292,4,12372
153,BMW,Blue,51874,5,48473
154,Nissan,Blue,112316,4,5258
155,BMW,Green,40578,5,48400
156,Honda,White,19735,3,20847
157,Honda,Blue,14182,4,22929
158,Nissan,Blue,201132,4,0
159,BMW,Black,25360,5,49540
160,Honda,Blue,26603,3,9378
161,Honda,White,118080,3,3327
162,Toyota,White,233418,4,0
163,Nissan,White,216646,4,0
164,BMW,Blue,234399,5,9728
165,Honda,White,29666,3,23670
166,BMW,Blue,179215,4,9666
167,Nissan,Blue,216793,4,0
168,Nissan,White,208153,4,0
169,Toyota,White,215674,4,0
170,Toyota,White,133239,4,15041
171,Nissan,Blue,127450,4,5025
172,Toyota,White,51241,4,13504
